year,country,co2_pp,hdi,co2_pp_area,region
1990,Haiti,0.14,0.408,0.374165739,Latin America and Caribbean
1990,Honduras,0.523,0.507,0.723187389,Latin America and Caribbean
1990,Hungary,6.71,0.703,2.590366769,European Community
1990,Iceland,7.84,0.797,2.8,Western Europe exc EC
1990,India,0.712,0.428,0.843800924,Asia and Oceania
1990,Indonesia,0.824,0.528,0.907744457,Asia and Oceania
1990,Iran,3.74,0.572,1.933907961,Middle East and N Africa
1990,Iraq,2.73,0.572,1.652271164,Middle East and N Africa
1990,Ireland,8.75,0.762,2.958039892,European Community
1990,Israel,8.06,0.785,2.839013913,Middle East and N Africa
1990,Italy,7.31,0.768,2.703701167,European Community
1990,Jamaica,3.11,0.651,1.763519209,Latin America and Caribbean
1990,Japan,8.8,0.814,2.966479395,Asia and Oceania
1990,Jordan,2.92,0.62,1.708800749,Middle East and N Africa
1990,Kazakhstan,18,0.69,4.242640687,Eastern Europe
1990,Kenya,0.249,0.473,0.498998998,Sub-Saharan Africa
1990,Kiribati,0.304,,0.55136195,Asia and Oceania
1990,Kuwait,24.3,0.713,4.929503018,Middle East and N Africa
1990,Kyrgyz Republic,2.91,0.615,1.705872211,Eastern Europe
1990,Lao,0.0499,0.397,0.223383079,Asia and Oceania
1990,Latvia,,0.703,0,European Community
1990,Lebanon,3.04,,1.743559577,Middle East and N Africa
1990,Lesotho,0.919,0.493,0.958644877,Sub-Saharan Africa
1990,Liberia,0.226,,0.475394573,Sub-Saharan Africa
1990,Libya,8.29,0.681,2.87923601,Middle East and N Africa
1990,Liechtenstein,,,0,Western Europe exc EC
1990,Lithuania,6.81,0.731,2.60959767,European Community
1990,Luxembourg,26.2,0.782,5.118593557,European Community
1990,"Macedonia, FYR",,,0,Eastern Europe
1990,Madagascar,0.0819,,0.28618176,Sub-Saharan Africa
1990,Malawi,0.0793,0.325,0.281602557,Sub-Saharan Africa
1990,Malaysia,3.14,0.643,1.772004515,Asia and Oceania
1990,Maldives,0.772,,0.878635305,Asia and Oceania
1990,Mali,0.0498,0.222,0.223159136,Sub-Saharan Africa
1990,Malta,5.93,0.736,2.435159132,European Community
1990,Mauritania,0.446,0.378,0.667832314,Sub-Saharan Africa
1990,Mauritius,1.39,0.62,1.178982612,Sub-Saharan Africa
1990,Mexico,3.73,0.648,1.931320792,North America
1990,"Micronesia, Fed. Sts.",,,0,Asia and Oceania
1990,Moldova,5.46,0.652,2.336664289,Eastern Europe
1990,Mongolia,4.57,0.579,2.137755833,Asia and Oceania
1990,Montenegro,,,0,Eastern Europe
1990,Morocco,0.946,0.458,0.972625313,Middle East and N Africa
1990,Mozambique,0.0772,0.209,0.27784888,Sub-Saharan Africa
1990,Myanmar,0.105,0.353,0.324037035,Asia and Oceania
1990,Namibia,,0.578,0,Sub-Saharan Africa
1990,Nepal,0.0338,0.378,0.183847763,Asia and Oceania
1990,Netherlands,10.6,0.83,3.255764119,European Community
1990,New Zealand,6.93,0.818,2.632489316,Asia and Oceania
1990,Nicaragua,0.615,0.495,0.784219357,Latin America and Caribbean
1990,Niger,0.0915,0.212,0.302489669,Sub-Saharan Africa
1990,Nigeria,0.411,,0.641092817,Sub-Saharan Africa
1990,Norway,7.42,0.849,2.723967694,Western Europe exc EC
1990,Oman,6.28,,2.505992817,Middle East and N Africa
1990,Pakistan,0.637,0.404,0.798122798,Asia and Oceania
1990,Palau,,,0,Asia and Oceania
1990,Palestine,0.41,,0.640312424,Asia and Oceania
1990,Panama,1.12,0.662,1.058300524,Latin America and Caribbean
1990,Papua New Guinea,0.497,0.36,0.704982269,Asia and Oceania
1990,Paraguay,0.513,0.58,0.716240183,Latin America and Caribbean
1990,Peru,0.965,0.613,0.982344135,Latin America and Caribbean
1990,Philippines,0.674,0.586,0.82097503,Asia and Oceania
1990,Poland,9.71,0.712,3.11608729,European Community
1990,Portugal,4.25,0.711,2.061552813,European Community
1990,Qatar,24.7,0.754,4.969909456,Middle East and N Africa
1990,Romania,7.41,0.7,2.722131518,European Community
1990,Russia,16,0.733,4,Eastern Europe
1990,Rwanda,0.075,0.244,0.273861279,Sub-Saharan Africa
1990,Samoa,0.63,0.598,0.793725393,Asia and Oceania
1990,Sao Tome and Principe,0.419,0.454,0.647302093,Western Europe exc EC
1990,Saudi Arabia,11.4,0.698,3.376388603,Middle East and N Africa
1990,Senegal,0.421,0.367,0.648845128,Sub-Saharan Africa
1990,Serbia,,0.714,0,Eastern Europe
1990,Seychelles,2.13,,1.459451952,Sub-Saharan Africa
1990,Sierra Leone,0.113,0.272,0.336154726,Sub-Saharan Africa
1990,Singapore,14.8,0.718,3.847076812,Asia and Oceania
1990,Slovak Republic,9.98,0.738,3.1591138,Eastern Europe
1990,Slovenia,,0.767,0,European Community
1990,Solomon Islands,0.47,,0.68556546,Asia and Oceania
1990,South Africa,8.34,0.621,2.887905816,Sub-Saharan Africa
1990,South Korea,5.75,0.731,2.397915762,Asia and Oceania
1990,South Sudan,,,0,Middle East and N Africa
1990,Spain,5.56,0.755,2.357965225,European Community
1990,Sri Lanka,0.223,0.626,0.472228758,Asia and Oceania
1990,St. Kitts and Nevis,2.6,,1.61245155,Latin America and Caribbean
1990,St. Lucia,1.17,,1.081665383,Latin America and Caribbean
1990,St. Vincent and the Grenadines,0.75,,0.866025404,Latin America and Caribbean
1990,Sudan,0.259,0.331,0.508920426,Middle East and N Africa
1990,Suriname,4.35,,2.085665361,Latin America and Caribbean
1990,Swaziland,0.494,0.548,0.702851336,Sub-Saharan Africa
1990,Sweden,6.06,0.815,2.461706725,European Community
1990,Switzerland,6.38,0.831,2.525866188,Western Europe exc EC
1990,Syria,3,0.556,1.732050808,Middle East and N Africa
1990,Tajikistan,1.57,0.616,1.252996409,Eastern Europe
1990,Tanzania,0.089,0.37,0.298328678,Sub-Saharan Africa
1990,Thailand,1.6,0.574,1.264911064,Asia and Oceania
1990,Timor-Leste,,,0,Asia and Oceania
1990,Togo,0.204,0.404,0.451663592,Sub-Saharan Africa
1990,Tonga,0.809,0.648,0.899444273,Asia and Oceania
1990,Trinidad and Tobago,13.9,0.67,3.728270376,Latin America and Caribbean
1990,Tunisia,1.61,0.569,1.268857754,European Community
1990,Turkey,2.71,0.576,1.646207763,Western Europe exc EC
1990,Turkmenistan,10.2,,3.193743885,Eastern Europe
1990,Uganda,0.0435,0.309,0.208566536,Sub-Saharan Africa
1990,Ukraine,13.9,0.706,3.728270376,Eastern Europe
1990,United Arab Emirates,28,0.726,5.291502622,Middle East and N Africa
1990,United Kingdom,9.72,0.775,3.117691454,European Community
1990,United States,19.1,0.86,4.370354677,North America
1990,Uruguay,1.28,0.692,1.13137085,Latin America and Caribbean
1990,Uzbekistan,6.21,,2.491987159,Eastern Europe
1990,Vanuatu,0.45,,0.670820393,Asia and Oceania
1990,Venezuela,6.15,0.634,2.479919354,Latin America and Caribbean
1990,Vietnam,0.314,0.477,0.560357029,Asia and Oceania
1990,Yemen,0.796,0.405,0.892188321,Middle East and N Africa
1990,Zambia,0.305,0.398,0.552268051,Sub-Saharan Africa
1990,Zimbabwe,1.54,0.499,1.240967365,Sub-Saharan Africa
1991,Afghanistan,0.188,0.3,0.433589668,Asia and Oceania
1991,Albania,1.31,0.618,1.144552314,Eastern Europe
1991,Algeria,2.98,0.581,1.72626765,Middle East and N Africa
1991,Andorra,7.18,,2.679552201,Western Europe exc EC
1991,Angola,0.405,,0.636396103,Sub-Saharan Africa
1991,Antigua and Barbuda,3.98,,1.994993734,Asia and Oceania
1991,Argentina,3.53,0.713,1.878829423,Latin America and Caribbean
1991,Armenia,1.82,0.628,1.349073756,Eastern Europe
1991,Australia,15.1,0.867,3.885871846,Asia and Oceania
1991,Austria,7.93,0.798,2.816025568,European Community
1991,Azerbaijan,8.37,,2.893095228,Eastern Europe
1991,Bahamas,6.83,,2.613426869,Latin America and Caribbean
1991,Bahrain,23.3,0.751,4.827007354,Middle East and N Africa
1991,Bangladesh,0.147,0.393,0.38340579,Asia and Oceania
1991,Barbados,4.62,0.716,2.149418526,Latin America and Caribbean
1991,Belarus,9.36,,3.059411708,Eastern Europe
1991,Belgium,11.1,0.809,3.33166625,European Community
1991,Belize,1.88,0.651,1.37113092,Latin America and Caribbean
1991,Benin,0.16,0.351,0.4,Sub-Saharan Africa
1991,Bhutan,0.348,,0.589915248,Asia and Oceania
1991,Bolivia,0.859,0.543,0.926822529,Latin America and Caribbean
1991,Bosnia and Herzegovina,,,0,Eastern Europe
1991,Botswana,1.86,0.592,1.36381817,Sub-Saharan Africa
1991,Brazil,1.44,0.615,1.2,Latin America and Caribbean
1991,Brunei,19.9,0.787,4.460941605,Asia and Oceania
1991,Bulgaria,6.56,0.696,2.561249695,European Community
1991,Burkina Faso,0.0693,,0.263248932,Sub-Saharan Africa
1991,Burundi,0.043,0.273,0.207364414,Sub-Saharan Africa
1991,Cambodia,0.141,0.362,0.375499667,Asia and Oceania
1991,Cameroon,0.0915,0.442,0.302489669,Sub-Saharan Africa
1991,Canada,15.2,0.853,3.898717738,North America
1991,Cape Verde,0.283,,0.531977443,Sub-Saharan Africa
1991,Central African Republic,0.0681,0.314,0.260959767,Sub-Saharan Africa
1991,Chad,0.0107,,0.103440804,Sub-Saharan Africa
1991,Chile,2.33,0.71,1.526433752,Latin America and Caribbean
1991,China,2.16,0.507,1.469693846,Asia and Oceania
1991,Colombia,1.64,0.595,1.280624847,Latin America and Caribbean
1991,Comoros,0.156,,0.394968353,Asia and Oceania
1991,"Congo, Dem. Rep.",0.0825,0.352,0.287228132,Sub-Saharan Africa
1991,"Congo, Rep.",0.401,0.519,0.633245608,Sub-Saharan Africa
1991,Costa Rica,1.05,0.658,1.024695077,Latin America and Caribbean
1991,Cote d'Ivoire,0.359,0.388,0.599166087,Sub-Saharan Africa
1991,Croatia,,0.664,0,European Community
1991,Cuba,2.79,0.67,1.670329309,Latin America and Caribbean
1991,Cyprus,5.99,0.736,2.44744765,European Community
1991,Czech Republic,14.7,0.759,3.834057903,European Community
1991,Denmark,11.7,0.803,3.420526275,European Community
1991,Djibouti,0.514,,0.716937933,Sub-Saharan Africa
1991,Dominica,0.828,,0.909945053,Latin America and Caribbean
1991,Dominican Republic,1.37,0.601,1.170469991,Latin America and Caribbean
1991,Ecuador,1.58,0.646,1.256980509,Latin America and Caribbean
1991,Egypt,1.34,0.551,1.15758369,Middle East and N Africa
1991,El Salvador,0.595,0.534,0.771362431,Latin America and Caribbean
1991,Equatorial Guinea,0.325,,0.570087713,Sub-Saharan Africa
1991,Eritrea,,,0,Sub-Saharan Africa
1991,Estonia,,0.723,0,European Community
1991,Ethiopia,0.0599,,0.244744765,Sub-Saharan Africa
1991,Fiji,0.912,0.649,0.954986911,Asia and Oceania
1991,Finland,10.7,0.786,3.271085447,European Community
1991,France,6.83,0.788,2.613426869,European Community
1991,Gabon,4.64,0.625,2.154065923,Sub-Saharan Africa
1991,Gambia,0.189,0.336,0.434741302,Sub-Saharan Africa
1991,Georgia,3.13,,1.769180601,Eastern Europe
1991,Germany,11.7,0.809,3.420526275,European Community
1991,Ghana,0.262,0.46,0.511859356,Sub-Saharan Africa
1991,Greece,7.16,0.77,2.675817632,European Community
1991,Grenada,1.14,,1.067707825,Latin America and Caribbean
1991,Guatemala,0.533,0.484,0.73006849,Latin America and Caribbean
1991,Guinea,0.161,0.275,0.401248053,Sub-Saharan Africa
1991,Guinea-Bissau,0.17,,0.412310563,Sub-Saharan Africa
1991,Guyana,1.5,0.537,1.224744871,Latin America and Caribbean
1991,Haiti,0.138,0.408,0.371483512,Latin America and Caribbean
1991,Honduras,0.529,0.509,0.727323862,Latin America and Caribbean
1991,Hungary,6.42,0.701,2.533771892,European Community
1991,Iceland,6.86,0.809,2.619160171,Western Europe exc EC
1991,India,0.741,0.432,0.860813569,Asia and Oceania
1991,Indonesia,0.974,0.528,0.986914383,Asia and Oceania
1991,Iran,3.96,0.59,1.989974874,Middle East and N Africa
1991,Iraq,2.54,0.527,1.593737745,Middle East and N Africa
1991,Ireland,8.78,0.766,2.963106478,European Community
1991,Israel,7.92,0.794,2.814249456,Middle East and N Africa
1991,Italy,7.42,0.773,2.723967694,European Community
1991,Jamaica,3.17,0.656,1.780449381,Latin America and Caribbean
1991,Japan,8.8,0.819,2.966479395,Asia and Oceania
1991,Jordan,2.61,0.63,1.615549442,Middle East and N Africa
1991,Kazakhstan,17.3,0.684,4.159326869,Eastern Europe
1991,Kenya,0.2,0.471,0.447213595,Sub-Saharan Africa
1991,Kiribati,0.299,,0.546808925,Asia and Oceania
1991,Kuwait,5.01,0.673,2.238302929,Middle East and N Africa
1991,Kyrgyz Republic,2.78,0.609,1.6673332,Eastern Europe
1991,Lao,0.0536,0.402,0.231516738,Asia and Oceania
1991,Latvia,,0.699,0,European Community
1991,Lebanon,3.08,,1.754992877,Middle East and N Africa
1991,Lesotho,0.936,0.493,0.96747093,Sub-Saharan Africa
1991,Liberia,0.135,,0.367423461,Sub-Saharan Africa
1991,Libya,9.43,0.693,3.070830507,Middle East and N Africa
1991,Liechtenstein,,,0,Western Europe exc EC
1991,Lithuania,6.56,0.727,2.561249695,European Community
1991,Luxembourg,27.5,0.79,5.244044241,European Community
1991,"Macedonia, FYR",,,0,Eastern Europe
1991,Madagascar,0.0866,,0.294278779,Sub-Saharan Africa
1991,Malawi,0.0825,0.331,0.287228132,Sub-Saharan Africa
1991,Malaysia,3.7,0.651,1.923538406,Asia and Oceania
1991,Maldives,0.67,,0.818535277,Asia and Oceania
1991,Mali,0.0504,0.229,0.224499443,Sub-Saharan Africa
1991,Malta,5.6,0.741,2.366431913,European Community
1991,Mauritania,0.441,0.382,0.664078309,Sub-Saharan Africa
1991,Mauritius,1.42,0.626,1.191637529,Sub-Saharan Africa
1991,Mexico,3.81,0.652,1.95192213,North America
1991,"Micronesia, Fed. Sts.",,,0,Asia and Oceania
1991,Moldova,5.25,0.641,2.291287847,Eastern Europe
1991,Mongolia,5.48,0.573,2.340939982,Asia and Oceania
1991,Montenegro,,,0,Eastern Europe
1991,Morocco,0.986,0.464,0.992975327,Middle East and N Africa
1991,Mozambique,0.0753,0.212,0.274408455,Sub-Saharan Africa
1991,Myanmar,0.101,0.361,0.317804972,Asia and Oceania
1991,Namibia,0.721,0.581,0.849117189,Sub-Saharan Africa
1991,Nepal,0.0499,0.386,0.223383079,Asia and Oceania
1991,Netherlands,11,0.835,3.31662479,European Community
1991,New Zealand,6.99,0.82,2.643860813,Asia and Oceania
1991,Nicaragua,0.473,0.495,0.687749955,Latin America and Caribbean
1991,Niger,0.0873,0.215,0.295465734,Sub-Saharan Africa
1991,Nigeria,0.433,,0.658027355,Sub-Saharan Africa
1991,Norway,7.51,0.855,2.740437921,Western Europe exc EC
1991,Oman,6.22,,2.493992783,Middle East and N Africa
1991,Pakistan,0.616,0.409,0.784856675,Asia and Oceania
1991,Palau,,,0,Asia and Oceania
1991,Palestine,0.403,,0.63482281,Asia and Oceania
1991,Panama,1.29,0.669,1.135781669,Latin America and Caribbean
1991,Papua New Guinea,0.467,0.368,0.683373983,Asia and Oceania
1991,Paraguay,0.494,0.585,0.702851336,Latin America and Caribbean
1991,Peru,0.911,0.616,0.9544632,Latin America and Caribbean
1991,Philippines,0.692,0.587,0.831865374,Asia and Oceania
1991,Poland,9.5,0.709,3.082207001,European Community
1991,Portugal,4.41,0.72,2.1,European Community
1991,Qatar,36.3,0.751,6.024948133,Middle East and N Africa
1991,Romania,5.98,0.685,2.445403852,European Community
1991,Russia,15.4,0.729,3.924283374,Eastern Europe
1991,Rwanda,0.0692,0.22,0.263058929,Sub-Saharan Africa
1991,Samoa,0.648,0.601,0.804984472,Asia and Oceania
1991,Sao Tome and Principe,0.41,0.457,0.640312424,Western Europe exc EC
1991,Saudi Arabia,15.9,0.707,3.987480407,Middle East and N Africa
1991,Senegal,0.44,0.366,0.663324958,Sub-Saharan Africa
1991,Serbia,,0.713,0,Eastern Europe
1991,Seychelles,2.41,,1.55241747,Sub-Saharan Africa
1991,Sierra Leone,0.126,0.267,0.354964787,Sub-Saharan Africa
1991,Singapore,14.6,0.729,3.820994635,Asia and Oceania
1991,Slovak Republic,9.16,0.733,3.02654919,Eastern Europe
1991,Slovenia,,0.764,0,European Community
1991,Solomon Islands,0.457,,0.676017751,Asia and Oceania
1991,South Africa,8.49,0.629,2.913760457,Sub-Saharan Africa
1991,South Korea,6.03,0.741,2.455605832,Asia and Oceania
1991,South Sudan,,,0,Middle East and N Africa
1991,Spain,5.73,0.764,2.393741841,European Community
1991,Sri Lanka,0.238,0.631,0.487852437,Asia and Oceania
1991,St. Kitts and Nevis,2.59,,1.609347694,Latin America and Caribbean
1991,St. Lucia,1.2,,1.095445115,Latin America and Caribbean
1991,St. Vincent and the Grenadines,0.714,,0.844985207,Latin America and Caribbean
1991,Sudan,0.234,0.337,0.483735465,Middle East and N Africa
1991,Suriname,4.95,,2.224859546,Latin America and Caribbean
1991,Swaziland,0.369,0.55,0.607453702,Sub-Saharan Africa
1991,Sweden,5.97,0.817,2.443358345,European Community
1991,Switzerland,6.34,0.833,2.517935662,Western Europe exc EC
1991,Syria,3.32,0.56,1.822086716,Middle East and N Africa
1991,Tajikistan,1.48,0.611,1.216552506,Eastern Europe
1991,Tanzania,0.0911,0.37,0.301827765,Sub-Saharan Africa
1991,Thailand,1.74,0.583,1.319090596,Asia and Oceania
1991,Timor-Leste,,,0,Asia and Oceania
1991,Togo,0.217,0.407,0.465832588,Sub-Saharan Africa
1991,Tonga,1,0.654,1,Asia and Oceania
1991,Trinidad and Tobago,13.8,0.671,3.714835124,Latin America and Caribbean
1991,Tunisia,1.84,0.575,1.356465997,European Community
1991,Turkey,2.71,0.58,1.646207763,Western Europe exc EC
1991,Turkmenistan,9.54,,3.088689042,Eastern Europe
1991,Uganda,0.0433,0.31,0.20808652,Sub-Saharan Africa
1991,Ukraine,13.4,0.701,3.660601044,Eastern Europe
1991,United Arab Emirates,28.9,0.738,5.375872022,Middle East and N Africa
1991,United Kingdom,9.89,0.787,3.144837039,European Community
1991,United States,18.9,0.861,4.347413024,North America
1991,Uruguay,1.45,0.697,1.204159458,Latin America and Caribbean
1991,Uzbekistan,5.84,,2.416609195,Eastern Europe
1991,Vanuatu,0.438,,0.661815684,Asia and Oceania
1991,Venezuela,5.68,0.644,2.383275058,Latin America and Caribbean
1991,Vietnam,0.308,0.486,0.554977477,Asia and Oceania
1991,Yemen,0.727,0.408,0.85264295,Middle East and N Africa
1991,Zambia,0.293,0.396,0.541294744,Sub-Saharan Africa
1991,Zimbabwe,1.53,0.501,1.236931688,Sub-Saharan Africa
1992,Afghanistan,0.0997,0.309,0.315753068,Asia and Oceania
1992,Albania,0.776,0.603,0.880908622,Eastern Europe
1992,Algeria,2.95,0.587,1.717556404,Middle East and N Africa
1992,Andorra,6.91,,2.628687886,Western Europe exc EC
1992,Angola,0.401,,0.633245608,Sub-Saharan Africa
1992,Antigua and Barbuda,3.86,,1.96468827,Asia and Oceania
1992,Argentina,3.61,0.72,1.9,Latin America and Caribbean
1992,Armenia,1.69,0.595,1.3,Eastern Europe
1992,Australia,15.3,0.871,3.911521443,Asia and Oceania
1992,Austria,7.24,0.804,2.690724809,European Community
1992,Azerbaijan,7.53,,2.744084547,Eastern Europe
1992,Bahamas,6.74,,2.596150997,Latin America and Caribbean
1992,Bahrain,20.8,0.757,4.5607017,Middle East and N Africa
1992,Bangladesh,0.16,0.4,0.4,Asia and Oceania
1992,Barbados,3.73,0.716,1.931320792,Latin America and Caribbean
1992,Belarus,8.55,,2.924038303,Eastern Europe
1992,Belgium,11.1,0.824,3.33166625,European Community
1992,Belize,1.83,0.655,1.352774926,Latin America and Caribbean
1992,Benin,0.169,0.355,0.411096096,Sub-Saharan Africa
1992,Bhutan,0.407,,0.637965516,Asia and Oceania
1992,Bolivia,0.933,0.549,0.965919251,Latin America and Caribbean
1992,Bosnia and Herzegovina,3.55,,1.884144368,Eastern Europe
1992,Botswana,1.91,0.59,1.382027496,Sub-Saharan Africa
1992,Brazil,1.43,0.622,1.195826074,Latin America and Caribbean
1992,Brunei,19,0.792,4.358898944,Asia and Oceania
1992,Bulgaria,6.25,0.696,2.5,European Community
1992,Burkina Faso,0.0678,,0.260384331,Sub-Saharan Africa
1992,Burundi,0.0382,0.271,0.195448203,Sub-Saharan Africa
1992,Cambodia,0.14,0.366,0.374165739,Asia and Oceania
1992,Cameroon,0.305,0.44,0.552268051,Sub-Saharan Africa
1992,Canada,15.5,0.855,3.937003937,North America
1992,Cape Verde,0.296,,0.54405882,Sub-Saharan Africa
1992,Central African Republic,0.0699,0.302,0.264386081,Sub-Saharan Africa
1992,Chad,0.0133,,0.115325626,Sub-Saharan Africa
1992,Chile,2.38,0.718,1.542724862,Latin America and Caribbean
1992,China,2.23,0.518,1.493318452,Asia and Oceania
1992,Colombia,1.74,0.606,1.319090596,Latin America and Caribbean
1992,Comoros,0.151,,0.388587185,Asia and Oceania
1992,"Congo, Dem. Rep.",0.0754,0.346,0.274590604,Sub-Saharan Africa
1992,"Congo, Rep.",0.497,0.518,0.704982269,Sub-Saharan Africa
1992,Costa Rica,1.16,0.667,1.077032961,Latin America and Caribbean
1992,Cote d'Ivoire,0.311,0.388,0.55767374,Sub-Saharan Africa
1992,Croatia,3.47,0.663,1.862793601,European Community
1992,Cuba,2.92,0.663,1.708800749,Latin America and Caribbean
1992,Cyprus,6.47,0.741,2.543619468,European Community
1992,Czech Republic,13.3,0.761,3.646916506,European Community
1992,Denmark,10.5,0.808,3.240370349,European Community
1992,Djibouti,0.507,,0.712039325,Sub-Saharan Africa
1992,Dominica,0.827,,0.909395404,Latin America and Caribbean
1992,Dominican Republic,1.46,0.61,1.208304597,Latin America and Caribbean
1992,Ecuador,2.08,0.65,1.44222051,Latin America and Caribbean
1992,Egypt,1.35,0.557,1.161895004,Middle East and N Africa
1992,El Salvador,0.615,0.546,0.784219357,Latin America and Caribbean
1992,Equatorial Guinea,0.346,,0.588217647,Sub-Saharan Africa
1992,Eritrea,,,0,Sub-Saharan Africa
1992,Estonia,15.7,0.715,3.962322551,European Community
1992,Ethiopia,0.0574,,0.239582971,Sub-Saharan Africa
1992,Fiji,1,0.653,1,Asia and Oceania
1992,Finland,9.41,0.794,3.06757233,European Community
1992,France,6.36,0.798,2.521904043,European Community
1992,Gabon,4.91,0.625,2.215851981,Sub-Saharan Africa
1992,Gambia,0.183,0.34,0.427784993,Sub-Saharan Africa
1992,Georgia,2.89,,1.7,Eastern Europe
1992,Germany,11.1,0.814,3.33166625,European Community
1992,Ghana,0.258,0.464,0.507937004,Sub-Saharan Africa
1992,Greece,7.22,0.771,2.687005769,European Community
1992,Grenada,1.21,,1.1,Latin America and Caribbean
1992,Guatemala,0.62,0.49,0.787400787,Latin America and Caribbean
1992,Guinea,0.157,0.278,0.396232255,Sub-Saharan Africa
1992,Guinea-Bissau,0.169,,0.411096096,Sub-Saharan Africa
1992,Guyana,1.4,0.552,1.183215957,Latin America and Caribbean
1992,Haiti,0.123,0.405,0.350713558,Latin America and Caribbean
1992,Honduras,0.586,0.514,0.765506368,Latin America and Caribbean
1992,Hungary,5.83,0.706,2.414539294,European Community
1992,Iceland,6.99,0.812,2.643860813,Western Europe exc EC
1992,India,0.772,0.439,0.878635305,Asia and Oceania
